entity,security_code,metric,fiscal_year,period_start,period_end,value,unit,currency,scope,status,source_id,locator
エコム,6225,revenue,2024,2023-08-01,2024-07-31,2465700,千円,JPY,単体,実績,S1,"TextBlock fact 904, table 0, row 2, column 1"
エコム,6225,revenue,2025,2024-08-01,2025-07-31,2639951,千円,JPY,単体,実績,S1,"TextBlock fact 904, table 0, row 2, column 2"
エコム,6225,cost_of_sales,2024,2023-08-01,2024-07-31,1695803,千円,JPY,単体,実績,S1,"TextBlock fact 904, table 0, row 5, column 1"
エコム,6225,cost_of_sales,2025,2024-08-01,2025-07-31,1747266,千円,JPY,単体,実績,S1,"TextBlock fact 904, table 0, row 5, column 2"
エコム,6225,gross_profit,2024,2023-08-01,2024-07-31,769897,千円,JPY,単体,実績,S1,"TextBlock fact 904, table 0, row 6, column 1"
エコム,6225,gross_profit,2025,2024-08-01,2025-07-31,892685,千円,JPY,単体,実績,S1,"TextBlock fact 904, table 0, row 6, column 2"
エコム,6225,sga,2024,2023-08-01,2024-07-31,458466,千円,JPY,単体,実績,S1,"TextBlock fact 904, table 0, row 13, column 1"
エコム,6225,sga,2025,2024-08-01,2025-07-31,518636,千円,JPY,単体,実績,S1,"TextBlock fact 904, table 0, row 13, column 2"
エコム,6225,operating_profit,2024,2023-08-01,2024-07-31,311431,千円,JPY,単体,実績,S1,"TextBlock fact 904, table 0, row 14, column 1"
エコム,6225,operating_profit,2025,2024-08-01,2025-07-31,374049,千円,JPY,単体,実績,S1,"TextBlock fact 904, table 0, row 14, column 2"
エコム,6225,ordinary_profit,2024,2023-08-01,2024-07-31,303849,千円,JPY,単体,実績,S1,"TextBlock fact 904, table 0, row 29, column 1"
エコム,6225,ordinary_profit,2025,2024-08-01,2025-07-31,376151,千円,JPY,単体,実績,S1,"TextBlock fact 904, table 0, row 29, column 2"
エコム,6225,pretax_profit,2024,2023-08-01,2024-07-31,308560,千円,JPY,単体,実績,S1,"TextBlock fact 904, table 0, row 37, column 1"
エコム,6225,pretax_profit,2025,2024-08-01,2025-07-31,382973,千円,JPY,単体,実績,S1,"TextBlock fact 904, table 0, row 37, column 2"
エコム,6225,net_profit,2024,2023-08-01,2024-07-31,210939,千円,JPY,単体,実績,S1,"TextBlock fact 904, table 0, row 41, column 1"
エコム,6225,net_profit,2025,2024-08-01,2025-07-31,262574,千円,JPY,単体,実績,S1,"TextBlock fact 904, table 0, row 41, column 2"
エコム,6225,operating_cash_flow,2024,2023-08-01,2024-07-31,-198350,千円,JPY,単体,実績,S1,"TextBlock fact 907, table 0, row 30, column 1"
エコム,6225,operating_cash_flow,2025,2024-08-01,2025-07-31,554301,千円,JPY,単体,実績,S1,"TextBlock fact 907, table 0, row 30, column 2"
エコム,6225,investing_cash_flow,2024,2023-08-01,2024-07-31,-49970,千円,JPY,単体,実績,S1,"TextBlock fact 907, table 0, row 39, column 1"
エコム,6225,investing_cash_flow,2025,2024-08-01,2025-07-31,-58437,千円,JPY,単体,実績,S1,"TextBlock fact 907, table 0, row 39, column 2"
エコム,6225,financing_cash_flow,2024,2023-08-01,2024-07-31,-88393,千円,JPY,単体,実績,S1,"TextBlock fact 907, table 0, row 43, column 1"
エコム,6225,financing_cash_flow,2025,2024-08-01,2025-07-31,-243958,千円,JPY,単体,実績,S1,"TextBlock fact 907, table 0, row 43, column 2"
エコム,6225,ppe_cash_outflow,2024,2023-08-01,2024-07-31,-1865,千円,JPY,単体,実績,S1,"TextBlock fact 907, table 0, row 34, column 1"
エコム,6225,ppe_cash_outflow,2025,2024-08-01,2025-07-31,-974,千円,JPY,単体,実績,S1,"TextBlock fact 907, table 0, row 34, column 2"
エコム,6225,cash_open,2024,2023-08-01,2024-07-31,1783128,千円,JPY,単体,実績,S1,"TextBlock fact 907, table 0, row 46, column 1"
エコム,6225,cash_open,2025,2024-08-01,2025-07-31,1446413,千円,JPY,単体,実績,S1,"TextBlock fact 907, table 0, row 46, column 2"
エコム,6225,cash_close,2024,2023-08-01,2024-07-31,1446413,千円,JPY,単体,実績,S1,"TextBlock fact 907, table 0, row 47, column 1"
エコム,6225,cash_close,2025,2024-08-01,2025-07-31,1698318,千円,JPY,単体,実績,S1,"TextBlock fact 907, table 0, row 47, column 2"
エコム,6225,revenue,2026,2025-08-01,2026-07-31,2664030,千円,JPY,単体,実績,S2,PDF p.8 / 売上高
エコム,6225,cost_of_sales,2026,2025-08-01,2026-07-31,1632994,千円,JPY,単体,実績,S2,PDF p.8 / 売上原価合計
エコム,6225,gross_profit,2026,2025-08-01,2026-07-31,1031035,千円,JPY,単体,実績,S2,PDF p.8 / 売上総利益
エコム,6225,sga,2026,2025-08-01,2026-07-31,506466,千円,JPY,単体,実績,S2,PDF p.8 / 販売費及び一般管理費合計
エコム,6225,operating_profit,2026,2025-08-01,2026-07-31,524568,千円,JPY,単体,実績,S2,PDF p.8 / 営業利益
エコム,6225,ordinary_profit,2026,2025-08-01,2026-07-31,530306,千円,JPY,単体,実績,S2,PDF p.8 / 経常利益
エコム,6225,pretax_profit,2026,2025-08-01,2026-07-31,535869,千円,JPY,単体,実績,S2,PDF p.8 / 税引前当期純利益
エコム,6225,net_profit,2026,2025-08-01,2026-07-31,353821,千円,JPY,単体,実績,S2,PDF p.8 / 当期純利益
エコム,6225,operating_cash_flow,2026,2025-08-01,2026-07-31,173021,千円,JPY,単体,実績,S2,PDF p.11 / 営業活動によるキャッシュ・フロー
エコム,6225,investing_cash_flow,2026,2025-08-01,2026-07-31,-202743,千円,JPY,単体,実績,S2,PDF p.11 / 投資活動によるキャッシュ・フロー
エコム,6225,financing_cash_flow,2026,2025-08-01,2026-07-31,-45392,千円,JPY,単体,実績,S2,PDF p.11 / 財務活動によるキャッシュ・フロー
エコム,6225,ppe_cash_outflow,2026,2025-08-01,2026-07-31,-100206,千円,JPY,単体,実績,S2,PDF p.11 / 有形固定資産の取得による支出
エコム,6225,cash_open,2026,2025-08-01,2026-07-31,1698318,千円,JPY,単体,実績,S2,PDF p.11 / 現金及び現金同等物の期首残高
エコム,6225,cash_close,2026,2025-08-01,2026-07-31,1623204,千円,JPY,単体,実績,S2,PDF p.11 / 現金及び現金同等物の期末残高
エコム,6225,cash_deposits,2025,2024-08-01,2025-07-31,1733179,千円,JPY,単体,実績,S2,PDF p.6 / 現金及び預金
エコム,6225,cash_deposits,2026,2025-08-01,2026-07-31,1658135,千円,JPY,単体,実績,S2,PDF p.6 / 現金及び預金
エコム,6225,assets,2025,2024-08-01,2025-07-31,4050186,千円,JPY,単体,実績,S2,PDF p.6 / 資産合計
エコム,6225,assets,2026,2025-08-01,2026-07-31,4167143,千円,JPY,単体,実績,S2,PDF p.6 / 資産合計
エコム,6225,current_assets,2025,2024-08-01,2025-07-31,2780326,千円,JPY,単体,実績,S2,PDF p.6 / 流動資産合計
エコム,6225,current_assets,2026,2025-08-01,2026-07-31,2800774,千円,JPY,単体,実績,S2,PDF p.6 / 流動資産合計
エコム,6225,wip,2025,2024-08-01,2025-07-31,57357,千円,JPY,単体,実績,S2,PDF p.6 / 仕掛品
エコム,6225,wip,2026,2025-08-01,2026-07-31,181649,千円,JPY,単体,実績,S2,PDF p.6 / 仕掛品
エコム,6225,materials,2025,2024-08-01,2025-07-31,55487,千円,JPY,単体,実績,S2,PDF p.6 / 原材料
エコム,6225,materials,2026,2025-08-01,2026-07-31,63964,千円,JPY,単体,実績,S2,PDF p.6 / 原材料
エコム,6225,trade_receivable_bills,2025,2024-08-01,2025-07-31,154581,千円,JPY,単体,実績,S2,PDF p.6 / 受取手形
エコム,6225,trade_receivable_bills,2026,2025-08-01,2026-07-31,63370,千円,JPY,単体,実績,S2,PDF p.6 / 受取手形
エコム,6225,trade_receivable_accounts,2025,2024-08-01,2025-07-31,766531,千円,JPY,単体,実績,S2,PDF p.6 / 売掛金
エコム,6225,trade_receivable_accounts,2026,2025-08-01,2026-07-31,763183,千円,JPY,単体,実績,S2,PDF p.6 / 売掛金
エコム,6225,trade_payable_bills,2025,2024-08-01,2025-07-31,238872,千円,JPY,単体,実績,S2,PDF p.7 / 支払手形
エコム,6225,trade_payable_bills,2026,2025-08-01,2026-07-31,0,千円,JPY,単体,実績,S2,PDF p.7 / 支払手形
エコム,6225,trade_payable_accounts,2025,2024-08-01,2025-07-31,109423,千円,JPY,単体,実績,S2,PDF p.7 / 買掛金
エコム,6225,trade_payable_accounts,2026,2025-08-01,2026-07-31,131210,千円,JPY,単体,実績,S2,PDF p.7 / 買掛金
エコム,6225,liabilities,2025,2024-08-01,2025-07-31,771042,千円,JPY,単体,実績,S2,PDF p.7 / 負債合計
エコム,6225,liabilities,2026,2025-08-01,2026-07-31,579577,千円,JPY,単体,実績,S2,PDF p.7 / 負債合計
エコム,6225,equity,2025,2024-08-01,2025-07-31,3279144,千円,JPY,単体,実績,S2,PDF p.7 / 純資産合計
エコム,6225,equity,2026,2025-08-01,2026-07-31,3587565,千円,JPY,単体,実績,S2,PDF p.7 / 純資産合計
エコム,6225,current_liabilities,2025,2024-08-01,2025-07-31,548682,千円,JPY,単体,実績,S2,PDF p.7 / 流動負債合計
エコム,6225,current_liabilities,2026,2025-08-01,2026-07-31,343325,千円,JPY,単体,実績,S2,PDF p.7 / 流動負債合計
エコム,6225,depreciation,2025,2024-08-01,2025-07-31,64358,千円,JPY,単体,実績,S2,PDF p.11 / 減価償却費
