scenario,period,ebit,cash_tax_rate,depreciation,gross_operating_investment,delta_operating_working_capital,after_tax_operating_cash_adjustments,fcff
BASE,FY2027,536.4920494289881,0.33,82.62532681318682,237.7956153846154,152.24476437555498,-0.66,51.374620170438476
BASE,FY2028,564.6963126822375,0.33,105.74213451631445,334.0407100591716,141.48450914203423,-0.66,7.903444812207734
BASE,FY2029,606.8995195418541,0.33,134.83305615495624,346.8011885298134,122.13331797714524,-0.66,71.8612277410398
BASE,FY2030,673.0799689053911,0.33,155.4568973542928,130.75896399593853,169.61434791031527,-0.66,305.387164614651
BASE,FY2031,715.6886184301592,0.33,173.4765488649624,155.0212453737752,149.50280304602018,-0.66,347.8038747933736
BASE,FY2032,709.0648020198606,0.33,197.1553397543041,212.63481353294063,66.95308928555401,-0.66,391.98085428911605
BASE,FY2033,690.8801927476605,0.33,227.5094438690784,251.73057080071365,55.05154054117298,-0.66,382.9570616681243
DOWNSIDE,FY2027,292.7322958492636,0.35,85.58743648351648,127.76923076923077,11.528643935789956,-14.35,122.21555408051714
DOWNSIDE,FY2028,308.16546424082793,0.35,97.5046463337278,195.1768047337278,80.93198323837127,-9.8,11.903410118166871
DOWNSIDE,FY2029,340.9457928619496,0.35,115.19617594427935,280.5736054619936,23.083645312687263,-5.6,27.553690529865698
DOWNSIDE,FY2030,371.2650603699547,0.35,136.01439996834694,244.95790660999265,57.52269842286773,-3.5,71.35608417595714
DOWNSIDE,FY2031,405.0167260125947,0.35,154.31328440865124,108.4815637746069,80.47724306237821,-2.8,225.81534947985273
DOWNSIDE,FY2032,426.28203333331425,0.35,162.75794845856043,153.39671938005412,55.29375487730939,0.0,231.15079586785114
DOWNSIDE,FY2033,409.0335506929175,0.35,184.72267545091265,189.91738523969076,28.339391607067398,0.0,232.3377065545509
UPSIDE,FY2027,689.2118946887933,0.315,83.56763450549451,260.4879230769231,312.2947109060204,0.0,-17.104851615625535
UPSIDE,FY2028,822.9053162330137,0.315,115.60276427117498,492.65491124260353,235.96673739670277,0.0,-49.32874274851693
UPSIDE,FY2029,957.7787974035281,0.315,160.52011246550958,519.248959126081,239.63858688548825,0.0,57.71104267535705
UPSIDE,FY2030,1077.4937515787733,0.315,198.1577412291071,302.93837929932425,234.01374220734718,0.0,399.2888395538955
UPSIDE,FY2031,1183.8444239387757,0.315,230.33372764798992,239.50699558537414,233.3783422571291,0.0,568.3818202035482
UPSIDE,FY2032,1212.966739198779,0.315,265.87590174737977,308.7053755260163,163.01295596945823,0.0,625.0397866030689
UPSIDE,FY2033,1169.1197502229907,0.315,310.3394222321763,368.55340630666865,81.17886740054551,0.0,661.4541774277108
